sequence_id,forward,reverse,score
02790a0dba70988dabf739fb27ae35ccd5d393cc4b600f022c68a2aa2743dbe4,-255.97268122434616,-255.5487695634365,-255.7607253938913
027c9e20d1c7144b8567e601e6f16f818ee07cff8f05dbaea4e8128e17f01dcb,-229.71573305875063,-231.1335274204612,-230.4246302396059
027ce492e5e25821d94e20f6c11abae2702c278cb81e9a45998dd8691cbbb290,-231.45815907418728,-228.4216146320105,-229.93988685309887
027efd5ebdcff85dfac550c940134aed1b2ee37f93986178cd31321c031c8541,-247.94836995005608,-253.8902207016945,-250.91929532587528
028941cfbb6654240c10772bfecf7fb38f91d7e4e2e251da56e6f1013ae89b3e,-265.8696067929268,-259.716474622488,-262.7930407077074
028f55422a33153dacbe5e6bb2a166dd9f773c25e4ba29bbe212fdbc51c601d8,-245.3356293439865,-246.27532494068143,-245.805477142334
0292b22c1c51763a3685e41a65ac50df44dde0ef8b9adb04caf31edd8a54c2b7,-224.75637471303344,-219.09244813025,-221.9244114216417
029f5977c4b808eaf290b2222d3dba5f74c9812a20db3163277c0a89b33936c9,-239.1804805099964,-244.1128878891468,-241.6466841995716
02a02546932cfd1f49c52fdc22c08a248f2f0b189330c47da9057b4d883c53f5,-97.3675595857203,-99.7368234405294,-98.55219151312484
02aa9bb4f2616349deb8f438044271726e543701cb269ef797b18883a83ff531,-86.9344283156097,-82.03946060501039,-84.48694446031004
02af647d34dfe1d54ed52f1cd5bd85860a2849213dd869800c21dcd32808e143,-65.17334865313023,-67.15007264958695,-66.16171065135859
02b06c5437b55438065679fd2b2c5f1bb6ccbd03f1843074de88bf89546d48d3,-269.8593100309372,-273.1657780408859,-271.5125440359116
02b442ef67335ff393cf56647bd0950ba9ae939c3eb8d8e10a3a406d81c8bd22,-272.70717430114746,-269.5425152778625,-271.124844789505
02b6c25ac54a9e6544323ee6ce1922c2b676ba73471d36ef036afce83f06f83d,-64.21076962398365,-63.47199102933519,-63.84138032665942
02b80af9f0e49a23ffa37cb1e6824c07ea52f7de2b86f26e9ad9fdb57ebe5393,-239.31456205248836,-232.8004413843155,-236.0575017184019
02ba72c51b68a36ee952a9382806cd5c8ec7fe4e785f7058778919c848f30b0e,-105.96929033752532,-116.88052526861428,-111.4249078030698
02cac2f55a5cc71c131c43f44ea3058b998119d9061f61e91b1e8597e4a49ec7,-258.8156362399459,-254.1720706373453,-256.4938534386456
02d05e2bbb5eba11a8333729c46ad215e4b724d4e01148af18297251b5a575c2,-130.01285389903933,-127.55200993642212,-128.78243191773072
02d5bfcb7998f4d4b31ea21c955c534b53ca1e5883ce1ce8c97131b58568069f,-186.03014701604843,-185.4216988682747,-185.7259229421616
02d6651fd4a28126808615fd1a1c7d8a70c1d576778d4997a0527d72a461b0c1,-274.6319513320923,-271.6533253788948,-273.14263835549355
02d75c11e1dd0f3168b204c96f77bec223555f16ff8e77f5d7356bf5bf08558c,-230.58438478410244,-227.51340812444687,-229.04889645427463
02dd19ab82cbd1a464c8dcde6087e4d0b06ff922240f6157aace521769c2900a,-244.7040903270245,-245.08204227685928,-244.89306630194187
02f9340ff3e0bf0606c77a581d3f466479fef8b7a8337197f730a34b76d76c02,-223.85640773177147,-225.37876477837565,-224.61758625507355
030970e8173fe38114511f5256c91b95bbd60796b9eb4cdab6ab314349fd23e9,-279.3673388361931,-267.20146560668945,-273.28440222144127
030a3fcf8730fd330f64eda6417258334ced3437641ff8b4fc1ea3febf78f7a0,-240.72085705399516,-239.38058611750603,-240.05072158575055
030d6ba5f4fc878cf26e2164689f7226e45fb18eb612f9228d90c489b59dd5d2,-236.5782593730837,-231.6861338056624,-234.13219658937305
031ecc552132a77959bdb7b99277c4791746ce0f9dfcc99f23be55702c88d9c1,-240.90015190839767,-243.37181615829468,-242.13598403334615
032b442b380c04c40018d27bf1f6d5908d10c76cc7fc121f614ddbd9f49c7443,-262.3443310856819,-256.60925817489624,-259.4767946302891
032bb722f9ca1d7266de78e433437f03742b79ba0298c42d593d8153b4a00ddb,-250.29687523841855,-251.8956211656332,-251.0962482020259
033688518c05a20f410f06118e624442f98f9ad4b8fa03846b91be23e6d605c5,-205.73264964018017,-214.87878482230008,-210.30571723124007
